Time (s),V_DSA-V_DSB
3.1750000000000003e-07,-0.3125000192
3.18e-07,-0.3125000192
3.185e-07,-0.3125000192
3.1900000000000004e-07,-0.3125000192
3.195e-07,-0.1562500096
3.2e-07,-0.3125000192
3.2050000000000004e-07,-0.1562500096
3.2100000000000003e-07,-0.3125000192
3.215e-07,-0.3125000192
3.22e-07,-0.1562500096
3.2250000000000004e-07,-0.1562500096
3.23e-07,-0.3125000192
3.235e-07,-0.1562500096
3.2400000000000004e-07,-0.3125000192
3.2450000000000003e-07,-0.1562500096
3.25e-07,-0.3125000192
3.255e-07,-0.3125000192
3.2600000000000003e-07,-0.3125000192
3.265e-07,-0.1562500096
3.27e-07,-0.1562500096
3.2750000000000004e-07,-0.1562500096
3.28e-07,-0.1562500096
3.285e-07,-0.1562500096
3.29e-07,-0.3125000192
3.2950000000000003e-07,-0.1562500096
3.3e-07,-0.1562500096
3.305e-07,-0.1562500096
3.3100000000000004e-07,-0.1562500096
3.315e-07,-0.1562500096
3.32e-07,-0.1562500096
3.3250000000000005e-07,-0.1562500096
3.3300000000000003e-07,-0.1562500096
3.335e-07,-0.1562500096
3.34e-07,-0.1562500096
3.3450000000000004e-07,-0.1562500096
3.35e-07,-0.1562500096
3.355e-07,-0.1562500096
3.3600000000000004e-07,-0.3125000192
3.3650000000000003e-07,-0.1562500096
3.37e-07,-0.1562500096
3.375e-07,-0.1562500096
3.3800000000000004e-07,-0.1562500096
3.385e-07,0.0
3.39e-07,-0.3125000192
3.3950000000000004e-07,-0.3125000192
3.4000000000000003e-07,-0.1562500096
3.405e-07,-0.3125000192
3.41e-07,-0.1562500096
3.4150000000000003e-07,-0.3125000192
3.42e-07,-0.1562500096
3.425e-07,-0.3125000192
3.4300000000000004e-07,-0.3125000192
3.435e-07,-0.1562500096
3.44e-07,-0.3125000192
3.4450000000000005e-07,-0.3125000192
3.4500000000000003e-07,-0.46875002879999994
3.455e-07,-0.1562500096
3.46e-07,-0.1562500096
3.4650000000000004e-07,0.0
3.47e-07,-0.1562500096
3.475e-07,-0.3125000192
3.4800000000000005e-07,-0.1562500096
3.4850000000000003e-07,-0.1562500096
3.49e-07,-0.1562500096
3.495e-07,-0.3125000192
3.5000000000000004e-07,-0.1562500096
3.505e-07,-0.3125000192
3.51e-07,-0.1562500096
3.5150000000000004e-07,0.0
3.5200000000000003e-07,-0.1562500096
3.525e-07,0.0
3.53e-07,-0.3125000192
3.5350000000000004e-07,-0.1562500096
3.54e-07,-0.1562500096
3.545e-07,-0.1562500096
3.5500000000000004e-07,-0.3125000192
3.5550000000000003e-07,-0.1562500096
3.56e-07,-0.3125000192
3.565e-07,-0.1562500096
3.5700000000000003e-07,-0.1562500096
3.575e-07,-0.1562500096
3.58e-07,-0.1562500096
3.5850000000000004e-07,-0.1562500096
3.59e-07,-0.1562500096
3.595e-07,0.0
3.6000000000000005e-07,-0.3125000192
3.6050000000000003e-07,-0.1562500096
3.61e-07,-0.3125000192
3.615e-07,-0.1562500096
3.6200000000000004e-07,0.0
3.625e-07,-0.1562500096
3.63e-07,-0.3125000192
3.6350000000000005e-07,-0.1562500096
3.6400000000000003e-07,-0.3125000192
3.645e-07,-0.3125000192
3.65e-07,-0.3125000192
3.6550000000000004e-07,-0.3125000192
3.66e-07,-0.3125000192
3.665e-07,-0.1562500096
3.6700000000000004e-07,-0.3125000192
3.6750000000000003e-07,-0.1562500096
3.68e-07,-0.1562500096
3.685e-07,-0.3125000192
3.6900000000000004e-07,-0.46875002879999994
3.695e-07,-0.1562500096
3.7e-07,-0.1562500096
3.7050000000000004e-07,-0.1562500096
3.7100000000000003e-07,-0.3125000192
3.715e-07,-0.1562500096
3.7200000000000005e-07,-0.1562500096
3.7250000000000003e-07,0.0
3.73e-07,-0.1562500096
3.735e-07,-0.3125000192
3.7400000000000004e-07,-0.1562500096
3.745e-07,-0.1562500096
3.75e-07,-0.3125000192
3.7550000000000005e-07,-0.1562500096
3.7600000000000003e-07,-0.3125000192
3.765e-07,-0.3125000192
3.77e-07,-0.3125000192
3.7750000000000004e-07,-0.1562500096
3.78e-07,0.0
3.785e-07,-0.1562500096
3.7900000000000005e-07,-0.46875002879999994
3.7950000000000003e-07,-0.1562500096
3.8e-07,-0.3125000192
3.805e-07,-0.1562500096
3.8100000000000004e-07,-0.1562500096
3.815e-07,-0.3125000192
3.82e-07,-0.3125000192
3.8250000000000004e-07,-0.3125000192
3.8300000000000003e-07,-0.1562500096
3.835e-07,-0.1562500096
3.8400000000000005e-07,-0.1562500096
3.8450000000000004e-07,-0.1562500096
3.85e-07,-0.3125000192
3.855e-07,-0.1562500096
3.8600000000000004e-07,-0.1562500096
3.865e-07,-0.1562500096
3.87e-07,-0.3125000192
3.8750000000000005e-07,-0.1562500096
3.8800000000000003e-07,-0.1562500096
3.885e-07,-0.1562500096
3.89e-07,-0.1562500096
3.8950000000000004e-07,-0.3125000192
3.9e-07,-0.1562500096
3.905e-07,-0.1562500096
3.9100000000000005e-07,-0.1562500096
3.9150000000000003e-07,-0.1562500096
3.92e-07,-0.1562500096
3.925e-07,-0.3125000192
3.9300000000000004e-07,-0.1562500096
3.935e-07,-0.3125000192
3.94e-07,0.0
3.9450000000000005e-07,-0.1562500096
3.9500000000000003e-07,-0.3125000192
3.955e-07,-0.1562500096
3.96e-07,-0.1562500096
3.9650000000000004e-07,-0.1562500096
3.97e-07,-0.1562500096
3.975e-07,-0.1562500096
3.9800000000000004e-07,-0.1562500096
3.9850000000000003e-07,-0.1562500096
3.99e-07,-0.1562500096
3.9950000000000005e-07,-0.1562500096
4.0000000000000003e-07,-0.1562500096
4.005e-07,-0.1562500096
4.01e-07,-0.3125000192
4.0150000000000004e-07,-0.1562500096
4.02e-07,-0.1562500096
4.025e-07,-0.1562500096
4.0300000000000005e-07,-0.1562500096
4.0350000000000003e-07,-0.3125000192
4.04e-07,-0.3125000192
4.045e-07,-0.3125000192
4.0500000000000004e-07,-0.1562500096
4.055e-07,-0.1562500096
4.06e-07,-0.1562500096
4.0650000000000005e-07,-0.1562500096
4.0700000000000003e-07,-0.1562500096
4.075e-07,-0.1562500096
4.08e-07,-0.1562500096
4.0850000000000004e-07,-0.1562500096
4.09e-07,-0.3125000192
4.095e-07,-0.3125000192
4.1000000000000004e-07,-0.1562500096
4.1050000000000003e-07,-0.1562500096
