Name,VDS_A,,,Name,VDS_B,,,Name,V_MR,,,Name,VOUT_RF,,,
2538071.06598985,-94.3065948486328,-104.009452819824,,2538071.06598985,-94.7838745117188,-104.978370666504,,2538071.06598985,5.01041084070765E-06,1.27073951613884E-06,,2538071.06598985,13.8240887762703,1.06478854433675,,
2588832.48730964,-92.5923919677734,-104.10871887207,,2588832.48730964,-93.0448379516602,-106.34326171875,,2588832.48730964,5.01752786954491E-06,1.14406596690247E-06,,2588832.48730964,13.7940060736336,1.00672885195394,,
2639593.90862944,-94.3699035644531,-104.422019958496,,2639593.90862944,-93.19287109375,-104.476066589355,,2639593.90862944,4.3974552926124E-06,1.37028546785255E-06,,2639593.90862944,12.8900296332039,2.10385867373128,,
2690355.32994924,-92.4651107788086,-105.121192932129,,2690355.32994924,-94.2492599487305,-105.288566589355,,2690355.32994924,5.05766997037101E-06,1.05657934496625E-06,,2690355.32994924,12.6706540228524,-0.643921172460125,,
2741116.75126904,-93.7568817138672,-104.793090820313,,2741116.75126904,-93.480339050293,-105.421035766602,,2741116.75126904,4.71771803702449E-06,1.09300338586997E-06,,2741116.75126904,14.9348828436532,1.82630893007894,,
2791878.17258883,-94.2904663085938,-106.586502075195,,2791878.17258883,-94.1168441772461,-106.050483703613,,2791878.17258883,4.94376949976782E-06,1.20357014560863E-06,,2791878.17258883,13.2899167181649,1.36512728945394,,
2842639.59390863,-93.7882385253906,-107.937858581543,,2842639.59390863,-93.0197982788086,-106.439292907715,,2842639.59390863,4.81705480296872E-06,1.27077411803582E-06,,2842639.59390863,12.6973111273446,1.39880343691487,,
2893401.01522843,-94.6932220458984,-105.15495300293,,2893401.01522843,-93.9985046386719,-104.285102844238,,2893401.01522843,4.56117839411577E-06,9.08692860402897E-07,,2893401.01522843,13.716705048243,-0.929397857030438,,
2944162.43654822,-93.8948593139648,-105.08243560791,,2944162.43654822,-95.7186584472656,-105.984268188477,,2944162.43654822,4.92916576869742E-06,1.07947230276908E-06,,2944162.43654822,12.8385922552743,3.31733676211019,,
2994923.85786802,-94.3554077148438,-108.210334777832,,2994923.85786802,-94.3941955566406,-106.861808776855,,2994923.85786802,4.27793286309645E-06,8.0468428584616E-07,,2994923.85786802,13.727203095118,2.18514987246175,,
3045685.27918782,-95.144889831543,-107.20043182373,,3045685.27918782,-95.0210266113281,-106.502243041992,,3045685.27918782,4.57230566057142E-06,1.21221597610146E-06,,3045685.27918782,12.9935757757821,1.92466708437581,,
3096446.70050761,-94.8471603393555,-107.530326843262,,3096446.70050761,-93.9712600708008,-104.269882202148,,3096446.70050761,4.15227874795539E-06,9.56269106271972E-07,,3096446.70050761,12.7209927679696,1.765777313868,,
3147208.12182741,-93.9925079345703,-104.800231933594,,3147208.12182741,-94.048095703125,-108.603149414063,,3147208.12182741,3.68520736870424E-06,1.15503251291907E-06,,3147208.12182741,11.9510953070321,0.85556002871175,,
3197969.54314721,-94.8368530273438,-104.374664306641,,3197969.54314721,-94.7247009277344,-107.881820678711,,3197969.54314721,4.21570571543617E-06,1.15300723593422E-06,,3197969.54314721,12.7527463080086,0.0617215277351875,,
3248730.964467,-93.6827239990234,-104.252105712891,,3248730.964467,-94.9799957275391,-109.408096313477,,3248730.964467,4.18994566254552E-06,8.44852098189298E-07,,3248730.964467,12.7578885199227,1.36320468203206,,
3299492.3857868,-94.7675170898438,-107.442474365234,,3299492.3857868,-95.0602874755859,-107.204895019531,,3299492.3857868,3.98445096081842E-06,9.66496947629915E-07,,3299492.3857868,12.5808407904305,-0.499374663671063,,
3350253.8071066,-94.7524261474609,-107.918182373047,,3350253.8071066,-95.6060943603516,-106.296142578125,,3350253.8071066,3.60091186982511E-06,1.07640742818776E-06,,3350253.8071066,12.6939084173836,1.33489962832112,,
3401015.2284264,-94.9336395263672,-107.15185546875,,3401015.2284264,-94.8727340698242,-105.509017944336,,3401015.2284264,3.6299468834962E-06,1.10815247146024E-06,,3401015.2284264,11.8546597601571,0.163947785059406,,
3451776.64974619,-94.9066390991211,-106.79655456543,,3451776.64974619,-95.2107315063477,-107.814186096191,,3451776.64974619,4.09538519146329E-06,1.00186296023601E-06,,3451776.64974619,11.449126923243,-2.08618191464763,,
3502538.07106599,-94.5272064208984,-106.204574584961,,3502538.07106599,-95.2749557495117,-105.697692871094,,3502538.07106599,4.64457130278973E-06,1.00584317864272E-06,,3502538.07106599,12.6707760931649,0.543899262110187,,
3553299.49238579,-94.7003021240234,-108.53197479248,,3553299.49238579,-95.7383117675781,-106.929336547852,,3553299.49238579,4.20178719360336E-06,1.23002388632382E-06,,3553299.49238579,11.2878415228524,0.100303375879719,,
3604060.91370558,-94.8584060668945,-108.5859375,,3604060.91370558,-95.8542404174805,-107.737731933594,,3604060.91370558,3.50571123027763E-06,1.08837326238579E-06,,3604060.91370558,11.1132199408211,0.510749542871906,,
3654822.33502538,-94.8957138061523,-109.038261413574,,3654822.33502538,-97.1925582885742,-107.973007202148,,3654822.33502538,3.85776475222264E-06,9.98185155343736E-07,,3654822.33502538,12.8239133001961,-0.365486419042156,,
3705583.75634518,-96.4317092895508,-108.166603088379,,3705583.75634518,-95.931396484375,-110.280746459961,,3705583.75634518,3.76267458419755E-06,1.1120947780569E-06,,3705583.75634518,12.8317105414071,-1.16400173886638,,
3756345.17766497,-95.7418823242188,-107.94091796875,,3756345.17766497,-95.4283905029297,-107.287384033203,,3756345.17766497,3.21459468463488E-06,1.084229304224E-06,,3756345.17766497,11.8356320501961,1.29911776796956,,
3807106.59898477,-96.5735626220703,-106.689498901367,,3807106.59898477,-94.8326034545898,-110.197822570801,,3807106.59898477,3.44278763184967E-06,8.34920183818719E-07,,3807106.59898477,11.7760617376961,0.318862641016437,,
3857868.02030457,-94.7005615234375,-106.927749633789,,3857868.02030457,-96.4136734008789,-110.208839416504,,3857868.02030457,3.64889715334867E-06,1.08427787519788E-06,,3857868.02030457,11.3767392279305,1.23564120546956,,
3908629.44162437,-94.0562210083008,-107.794059753418,,3908629.44162437,-96.3671112060547,-107.778739929199,,3908629.44162437,3.86938114947983E-06,1.0770950118287E-06,,3908629.44162437,10.817664826075,-0.812996184667156,,
3959390.86294416,-95.6957931518555,-108.075500488281,,3959390.86294416,-96.6815490722656,-109.670753479004,,3959390.86294416,3.59701725957236E-06,9.75541146325304E-07,,3959390.86294416,11.1670224310555,-2.26941708310466,,
4010152.28426396,-96.0292587280273,-107.63126373291,,4010152.28426396,-95.7584838867188,-109.074073791504,,4010152.28426396,3.09410708959429E-06,1.00154708901153E-06,,4010152.28426396,10.5587842108407,-0.376701629003094,,
4060913.70558376,-95.5403137207031,-106.662498474121,,4060913.70558376,-96.2188415527344,-107.125518798828,,4060913.70558376,3.6022626901312E-06,1.15208194208493E-06,,4060913.70558376,11.5378872992196,0.739608490625812,,
4111675.12690355,-96.0422592163086,-107.424873352051,,4111675.12690355,-95.843132019043,-108.873886108398,,4111675.12690355,3.24626948065412E-06,8.68934329106761E-07,,4111675.12690355,11.7103955389657,0.677345001856281,,
4162436.54822335,-97.202995300293,-108.666091918945,,4162436.54822335,-96.5517578125,-106.974853515625,,4162436.54822335,3.20379849626978E-06,8.10396386866184E-07,,4162436.54822335,10.5716015936532,-0.329841887792156,,
4213197.96954315,-96.3992538452148,-107.390007019043,,4213197.96954315,-95.0380401611328,-108.32088470459,,4213197.96954315,3.08168745927257E-06,8.87783407023637E-07,,4213197.96954315,11.2123944403328,-1.61386898740153,,
4263959.39086294,-95.388801574707,-106.733627319336,,4263959.39086294,-96.6309127807617,-106.967346191406,,4263959.39086294,3.47602386892481E-06,8.30614001728758E-07,,4263959.39086294,11.45902224795,-0.648521697362469,,
4314720.81218274,-97.4482879638672,-107.362579345703,,4314720.81218274,-97.7483520507813,-109.439186096191,,4314720.81218274,3.45610089179989E-06,9.08799022598419E-07,,4314720.81218274,10.4369885565438,-1.96022061093669,,
4365482.23350254,-97.0487518310547,-107.140342712402,,4365482.23350254,-97.2953262329102,-107.358612060547,,4365482.23350254,3.16280535579666E-06,9.07618367419676E-07,,4365482.23350254,11.1671139837899,-0.201065337499188,,
4416243.65482233,-95.2680511474609,-108.009925842285,,4416243.65482233,-97.3397903442383,-109.615570068359,,4416243.65482233,3.63444853846543E-06,8.07806643205461E-07,,4416243.65482233,11.2290722967782,1.11576052920003,,
4467005.07614213,-97.3261337280273,-106.759834289551,,4467005.07614213,-97.2045745849609,-106.878509521484,,4467005.07614213,3.36129920817746E-06,4.86861442840357E-07,,4467005.07614213,11.3067547918953,-0.45205715878825,,
4517766.49746193,-97.4790725708008,-110.116416931152,,4517766.49746193,-97.8724670410156,-107.143020629883,,4517766.49746193,3.70704687570611E-06,7.74497719210079E-07,,4517766.49746193,12.0584027411141,0.566207611719562,,
4568527.91878173,-97.7423782348633,-108.630958557129,,4568527.91878173,-97.6196670532227,-109.662452697754,,4568527.91878173,3.28618172135757E-06,8.83613507002379E-07,,4568527.91878173,10.0054852606453,1.75736972109456,,
4619289.34010152,-95.4263381958008,-109.037528991699,,4619289.34010152,-97.4995574951172,-112.41911315918,,4619289.34010152,3.3716723853186E-06,8.68584071268281E-07,,4619289.34010152,10.9329373480477,-1.62101773007731,,
4670050.76142132,-96.9553527832031,-108.101211547852,,4670050.76142132,-97.5356369018555,-110.673446655273,,4670050.76142132,3.25264579436149E-06,9.77667672843441E-07,,4670050.76142132,11.2004391791024,-3.97496060117106,,
4720812.18274112,-96.7455749511719,-110.624710083008,,4720812.18274112,-96.1086273193359,-107.737060546875,,4720812.18274112,3.24851146619727E-06,8.25229692562984E-07,,4720812.18274112,11.5376126410164,-0.258545195897625,,
4771573.60406091,-95.8444137573242,-107.300415039063,,4771573.60406091,-96.1755752563477,-109.991760253906,,4771573.60406091,3.24844869236314E-06,9.32394924672872E-07,,4771573.60406091,11.7086636664071,-2.25901821835856,,
